Line,GEBV_biomassfinalplant,GEBV_biomassfinalplot,GEBV_fruitlength,GEBV_fruitno,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_fruitwidth,GEBV_leafangledaily,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_yield
GPC00957,-11509.89591,-41713285.27,-0.342633607,5.713353574,2.337786791,-14.19933084,-1.146141296,0.027460778,47.49089399,25.79109358,158.0267798,52.21386611,-5.251860947
GPC00958,-9674.899746,-36003907.59,-0.499509132,14.53011806,2.400383768,-15.30652284,-1.23643644,0.025330003,14.10151752,22.80825938,114.9593456,44.03880747,-5.454948187
GPC00959,-3482.447773,-10621013.14,-0.799668943,17.45883223,1.511985011,-19.90963621,-1.42494179,0.037916073,582.3346936,170.7336763,482.9555482,129.0953507,-4.112541167
GPC00960,-7584.085302,-26298754.91,-0.440966358,17.58573969,1.917577463,-13.9357668,-1.144955302,0.024060887,318.0656044,91.97320103,285.7363324,80.81878367,-4.760512643
GPC00961,-5670.917187,-17690876.56,-0.386631331,18.73157664,1.563490014,-17.66878534,-1.326630863,0.032556393,526.7003141,148.0698652,434.7293635,111.9798912,-3.854336292
GPC00962,-9644.563255,-35201782.16,-0.673767725,10.518866,2.20300259,-16.42838691,-1.215720455,0.025972789,97.01354715,40.12723273,178.1064809,58.92441107,-5.19521532
GPC00963,-9576.275117,-35682690.12,-0.596836186,10.34683016,2.383243519,-16.76539804,-1.245663852,0.026227579,134.9661973,48.89121723,196.4261132,65.55213506,-5.463806293
GPC00964,-8163.361873,-30283966.23,-0.495373716,10.79735359,2.410817358,-17.36745007,-1.267373265,0.026180446,193.3535117,62.85760047,223.2856978,72.1196252,-5.397533896
GPC00965,-5896.215622,-20938334.25,-1.802390243,38.92321409,0.378365987,-17.06445976,-1.190269391,0.039756661,798.2579344,237.0298347,607.0387747,163.5425244,-3.42617229
GPC00966,-7807.579063,-29088375.58,-0.282470524,14.49844424,2.1982161,-14.48211379,-1.154231043,0.023434429,193.7038546,64.01460314,227.1764146,73.31070156,-4.948439046
GPC00967,-35210.34379,-126836738.9,-3.362898137,-12.72384557,-2.142821288,17.48490974,2.05070234,-0.021160272,-1884.659211,-464.590858,-939.7157793,-247.7358629,-1.24711765
GPC00968,-9068.748796,-33926758.25,-0.317218394,18.24659627,2.407664339,-14.2113271,-1.176194359,0.024643796,145.0408234,55.65693347,207.8100475,69.24462758,-5.387950133
GPC00969,-5045.191927,-17230931.33,-0.487125887,15.65184343,1.666786925,-16.00978383,-1.298679188,0.031566694,505.3943503,148.7900312,380.273313,106.0012394,-4.481883661
GPC00970,-9799.412956,-36684109.8,-0.419446687,10.46252144,2.32979633,-16.24045635,-1.241228774,0.022491134,57.2806637,33.19975493,149.3633897,55.6193484,-5.12069061
GPC00971,-1479.220064,-17092145.57,-2.055786409,78.84767836,0.801530102,-23.18008606,-1.836194516,0.023742978,515.8551737,259.6598601,357.7095993,154.4588614,-2.864370233
GPC00972,-6808.893356,-21444111.18,-2.150757105,18.73466789,0.209637493,-15.03716856,-1.030878043,0.023828006,360.1921528,115.1005475,330.2214731,82.4800447,-3.311517568
GPC00976,-7255.381453,-18401737.13,-2.163135603,5.645960028,0.337142655,-16.32355495,-1.04738402,0.027406473,491.7228985,132.3523427,400.2299493,94.55779733,-3.769923538
GPC00978,-17690.10517,-72763944.6,0.152073952,-5.560946688,0.461110872,-2.566196566,-0.123387971,-0.006910697,-727.0479419,-153.7595252,-343.1130247,-70.35299333,-1.4293701
GPC00983,-2408.77731,-4501419.978,-1.219796703,15.31782919,0.231863318,-14.33122145,-0.842367644,0.023138776,406.4747535,106.5673684,339.8672504,88.34845945,-3.068206813
GPC00985,1419.550826,10033279.15,-0.980274608,14.56798072,0.444348728,-15.18841276,-0.941263374,0.022289275,465.3102779,125.3295128,364.4991232,92.87959335,-2.938002092
GPC00986,-5873.452665,-15744186.13,-1.773680495,6.823268054,0.410555776,-17.42245806,-1.150729878,0.028876894,521.2310853,146.2700213,417.4749263,102.6689791,-3.712960913
GPC00987,-6012.702161,-17558835.9,-2.045974456,22.46908312,0.272650076,-16.16519729,-1.076497034,0.027168206,376.5775073,119.1209954,344.7778838,87.09102355,-3.700703019
GPC00988,-6200.879159,-21676140.01,-0.633832431,13.12452999,1.534521509,-17.94090483,-1.30066326,0.033374373,446.2320206,142.4332974,399.394367,109.1614788,-4.159417227
GPC00989,-4620.964496,-20254370.05,-1.240546974,33.2071525,0.408676122,-12.33614562,-0.886522605,0.001152002,57.87134021,44.04127296,57.75623894,31.47472757,-1.685128697
GPC00990,-7980.533415,-28226363.76,-0.715683847,16.86468952,2.013850742,-19.17491893,-1.38004074,0.026599867,312.0326237,96.27143689,290.7466927,82.26005794,-4.929642547
GPC00991,3736.775203,15944602,-1.824981387,19.83288864,0.467991769,-18.1766942,-1.156859861,0.029123647,805.3163969,210.037047,554.8716385,146.6807714,-2.957895464
GPC00993,10755.10178,43928660.9,-0.725234725,20.06374091,0.111111961,-10.92728982,-0.719195586,0.027208519,752.333945,212.9224175,471.0581406,117.4723919,-0.712896778
GPC00994,-221.6108017,4336881.565,-1.206361434,8.762086039,-0.786685765,-2.049957915,0.390929201,0.017271498,-27.55663866,9.786839346,-8.446871507,0.095773694,-0.754449191
GPC00995,-21970.28212,-85178420.97,1.200906984,-14.56875099,-0.960711706,22.94005223,1.831930158,-0.036702817,-1065.98703,-233.4915471,-668.3185138,-158.9580434,0.406978217
GPC00996,10947.91705,49276317.28,1.916919744,29.50636726,3.68811042,-19.0831655,-1.520816474,0.059386353,1746.089137,464.7032967,1076.519773,263.2973352,-1.20221653
GPC00997,12725.19586,51815148.03,3.131908203,30.36730936,4.416044014,-13.4847116,-1.437821099,0.038850853,1377.000312,366.5196587,778.0677537,201.7089433,-1.097364538
GPC00998,-16031.34437,-59853077.61,4.091402096,-2.499553418,0.362787102,18.71516196,1.123964048,-0.009329406,-1098.675747,-270.7372875,-641.6851133,-162.2450001,1.727417762
GPC00999,-17056.93804,-66747451.24,4.45220756,-12.75413728,0.256952715,18.67575372,1.051909254,-0.017021237,-1202.571069,-302.0446877,-695.4855305,-169.7714202,1.778043421
GPC01000,-30291.58507,-110802738.3,-1.478125407,-19.90594376,-2.073528861,23.30322888,1.978311925,-0.015871019,-1826.759022,-438.5962088,-932.3934295,-243.5791779,-0.248667113
GPC01001,-17206.22746,-67329125.7,-0.298822752,-8.759985428,-0.258072929,-4.019914481,0.006852839,-0.005782579,-1237.438483,-288.9979233,-648.7864797,-154.5842516,-1.889500363
GPC01002,-23390.1177,-89380789.54,0.694224704,-31.48667413,-0.247312161,8.214113837,0.891767479,-0.012619393,-1307.422613,-305.9122198,-712.1554372,-169.34903,-1.122010617
GPC01003,-17751.00242,-67510139.68,0.764161498,1.78079491,0.508448321,-3.6201453,-0.082707347,-0.009808467,-1109.131357,-264.436642,-668.5885594,-160.2274222,-1.636346244
GPC01004,-21211.23104,-85130705,-1.13315283,-18.6665511,-1.920846888,33.71104262,2.59899372,-0.0364524,-1386.310204,-303.273889,-776.5769539,-188.2698009,0.658547666
GPC01005,-25897.1993,-94594695.92,3.524471133,-9.3496154,-0.258663702,22.8631467,1.378738983,-0.024174381,-1730.219867,-413.0248602,-1072.534451,-276.0548763,1.612137925
GPC01007,-16465.87291,-60485473.15,0.750681059,-9.428506988,0.574166697,-11.65319534,-0.637997562,0.001476588,-1081.671589,-265.7600957,-507.2831708,-128.9037882,-2.496054496
GPC01008,-18887.86415,-76002342.93,-1.169435309,-27.55320943,-1.719500684,31.02774359,2.413634761,-0.036957681,-1267.015937,-279.7495748,-716.0741887,-173.6194833,0.586621974
GPC01009,-22513.83083,-84058985.08,4.084661512,-10.50482709,-0.115371132,18.6568481,0.921936327,-0.011540254,-1537.5469,-368.1489015,-854.4658769,-219.6854053,1.044936886
GPC01012,-20784.64137,-76330247.86,-0.301135734,-1.267587234,-1.710228689,23.29632866,1.983137407,-0.028409996,-1431.334577,-354.3732027,-854.6591587,-215.3513992,0.161493512
GPC01013,-7320.683145,-25527853.78,-4.063108695,-3.402358502,-1.800532446,-5.500726625,0.52278486,0.006727744,-576.2249057,-134.4312311,-248.3124408,-67.71487607,-1.331831336
GPC01014,-30443.48472,-114321194.9,-1.854871555,-19.10571344,-1.695975961,17.0295287,1.787659204,-0.017616636,-1750.975208,-419.7723097,-854.4702593,-213.0456209,-0.844338621
GPC01016,-32547.87098,-116519422.3,0.371547507,-15.67607731,-1.123972317,19.26708954,1.558261172,-0.02414516,-1819.844624,-444.1094478,-1007.296442,-261.2860851,-0.338607318
GPC01017,-26929.89633,-96899798.22,1.582778663,-0.376081812,0.454113636,14.76333729,0.803883398,-0.005752043,-1220.95089,-283.2656301,-705.9558069,-176.9861641,-0.844568555
GPC01018,-30413.69851,-112518959.5,1.786863641,-6.819054471,-0.087656224,19.079977,1.278229922,-0.016841651,-1712.549462,-411.505101,-951.8426274,-236.533237,0.15497702
GPC01019,-5576.391218,-16754702.03,-2.881165022,26.86013208,-1.205518613,-8.117140775,-0.262766034,-0.001098544,332.6824332,68.16793048,163.1058692,29.64758065,-0.416570428
GPC01020,-32480.14615,-118152719.8,-3.131841008,-16.26882923,-2.099315208,22.11338359,2.567255881,-0.025376614,-1675.738681,-408.8499364,-930.1163023,-236.5469469,-0.229786556
GPC01021,-38395.81894,-142008974.7,-0.416031862,1.240701548,0.356752568,-10.61278454,-0.606882414,-0.022660584,-2364.24848,-556.9967346,-1278.225358,-322.5806314,-3.917814893
GPC01022,1323.629378,4854168.399,-1.557224475,20.45082528,0.705381761,-18.40840081,-1.185215111,0.029215667,478.0993284,139.6791103,378.6236866,105.8248832,-3.057324101
GPC01023,-3291.038496,-10499038.18,-1.086823268,21.16928124,1.335057346,-19.8018618,-1.411032816,0.034229557,520.7763722,157.2362006,446.6417843,118.7346811,-4.073679368
